0	0.0023
1	0.0046
2	0.0774
3	0.2694
4	0.2523
5	0.1504
6	0.0801
7	0.0412
8	0.0234
9	0.0154
10	0.0101
11	0.01
12	0.0066
13	0.0048
14	0.0045
15	0.0029
16	0.0031
17	0.0023
18	0.0026
19	0.0018
20	0.0027
21	0.0021
22	0.0015
23	0.0016
24	0.0012
25	0.002
26	8.0E-4
27	5.0E-4
28	9.0E-4
29	4.0E-4
30	9.0E-4
31	9.0E-4
32	0.001
33	6.0E-4
34	4.0E-4
35	9.0E-4
36	7.0E-4
37	6.0E-4
38	3.0E-4
39	3.0E-4
40	9.0E-4
41	5.0E-4
42	3.0E-4
43	5.0E-4
44	8.0E-4
45	9.0E-4
46	6.0E-4
47	2.0E-4
48	3.0E-4
49	4.0E-4
50	8.0E-4
51	4.0E-4
52	4.0E-4
53	2.0E-4
54	1.0E-4
55	2.0E-4
56	1.0E-4
57	2.0E-4
58	1.0E-4
59	1.0E-4
60	2.0E-4
61	0.0
62	2.0E-4
63	2.0E-4
64	1.0E-4
65	1.0E-4
66	2.0E-4
67	1.0E-4
68	3.0E-4
69	1.0E-4
70	2.0E-4
71	1.0E-4
72	1.0E-4
73	2.0E-4
74	2.0E-4
75	2.0E-4
76	3.0E-4
77	0.0
78	2.0E-4
79	2.0E-4
80	0.0
81	2.0E-4
82	2.0E-4
83	0.0
84	1.0E-4
85	1.0E-4
86	0.0
87	0.0
88	1.0E-4
89	0.0
90	0.0
91	1.0E-4
92	0.0
93	1.0E-4
94	0.0
95	0.0
96	1.0E-4
97	0.0
98	1.0E-4
99	0.0
100	0.0
101	1.0E-4
102	0.0
103	0.0
104	1.0E-4
105	0.0
106	0.0
107	1.0E-4
108	0.0
109	0.0
110	0.0
111	2.0E-4
112	0.0
113	0.0
114	0.0
115	1.0E-4
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	1.0E-4
122	0.0
123	0.0
124	0.0
125	1.0E-4
126	2.0E-4
127	0.0
128	1.0E-4
129	1.0E-4
130	0.0
131	0.0
132	0.0
133	0.0
134	1.0E-4
135	0.0
136	0.0
137	0.0
138	0.0
139	0.0
140	0.0
141	1.0E-4
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	1.0E-4
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.0
161	0.0
162	0.0
163	0.0
164	0.0
165	0.0
166	0.0
167	0.0
168	0.0
169	0.0
170	0.0
171	0.0
172	0.0
173	1.0E-4
174	0.0
175	0.0
176	0.0
177	0.0
178	0.0
179	0.0
180	0.0
181	0.0
182	0.0
183	0.0
184	0.0
185	0.0
186	0.0
187	0.0
188	0.0
189	0.0
190	0.0
191	0.0
192	0.0
193	0.0
194	0.0
195	0.0
196	0.0
197	0.0
198	0.0
199	0.0
200	0.0
201	0.0
202	2.0E-4
203	0.0
204	0.0
205	0.0
206	0.0
207	0.0
208	0.0
209	0.0
210	0.0
211	0.0
212	0.0
213	0.0
214	1.0E-4
215	0.0
216	0.0
217	0.0
218	0.0
219	0.0
220	0.0
221	0.0
222	0.0
223	0.0
224	0.0
225	0.0
226	0.0
227	1.0E-4
228	0.0
229	0.0
230	0.0
231	0.0
232	0.0
233	0.0
234	0.0
235	0.0
236	0.0
237	0.0
238	0.0
239	0.0
240	0.0
241	0.0
242	0.0
243	0.0
244	0.0
245	0.0
246	0.0
247	0.0
248	0.0
249	0.0
250	0.0
251	0.0
252	0.0
253	0.0
254	0.0
255	0.0
256	0.0
257	0.0
258	0.0
259	0.0
260	0.0
261	0.0
262	0.0
263	0.0
264	0.0
265	0.0
266	0.0
267	0.0
268	0.0
269	0.0
270	0.0
271	1.0E-4
272	0.0
273	0.0
274	0.0
275	0.0
276	0.0
277	0.0
278	0.0
279	0.0
280	0.0
281	0.0
282	0.0
283	0.0
284	0.0
285	0.0
286	0.0
287	0.0
288	0.0
289	0.0
290	0.0
291	0.0
292	0.0
293	0.0
294	0.0
295	0.0
296	0.0
297	0.0
298	0.0
299	0.0
300	0.0
301	0.0
302	0.0
303	0.0
304	0.0
305	0.0
306	0.0
307	0.0
308	0.0
309	0.0
310	0.0
311	0.0
312	0.0
313	0.0
314	0.0
315	0.0
316	0.0
317	0.0
318	0.0
319	0.0
320	0.0
321	0.0
322	0.0
323	0.0
324	0.0
325	0.0
326	0.0
327	0.0
328	1.0E-4
