0	0.0019
1	0.0017
2	0.0987
3	0.328
4	0.2762
5	0.1479
6	0.072
7	0.0325
8	0.0139
9	0.0088
10	0.0047
11	0.0028
12	0.0018
13	9.0E-4
14	0.0011
15	4.0E-4
16	0.0012
17	7.0E-4
18	2.0E-4
19	5.0E-4
20	2.0E-4
21	2.0E-4
22	3.0E-4
23	4.0E-4
24	2.0E-4
25	3.0E-4
26	0.0
27	1.0E-4
28	2.0E-4
29	4.0E-4
30	1.0E-4
31	0.0
32	0.0
33	1.0E-4
34	0.0
35	0.0
36	1.0E-4
37	0.0
38	1.0E-4
39	0.0
40	1.0E-4
41	0.0
42	0.0
43	1.0E-4
44	0.0
45	1.0E-4
46	0.0
47	0.0
48	1.0E-4
49	0.0
50	1.0E-4
51	0.0
52	0.0
53	1.0E-4
54	0.0
55	0.0
56	1.0E-4
57	0.0
58	0.0
59	0.0
60	0.0
61	0.0
62	0.0
63	0.0
64	0.0
65	0.0
66	1.0E-4
67	0.0
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	1.0E-4
74	0.0
75	0.0
76	0.0
77	0.0
78	0.0
79	0.0
80	0.0
81	0.0
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	1.0E-4
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
101	0.0
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	1.0E-4
110	0.0
111	0.0
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	0.0
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
128	0.0
129	1.0E-4
130	0.0
131	0.0
132	0.0
133	0.0
134	0.0
135	0.0
136	0.0
137	0.0
138	0.0
139	0.0
140	0.0
141	0.0
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	1.0E-4
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.0
161	0.0
162	0.0
163	0.0
164	0.0
165	0.0
166	0.0
167	0.0
168	0.0
169	0.0
170	1.0E-4
