183	1.0E-4
184	1.0E-4
185	2.0E-4
186	1.0E-4
187	0.0
188	0.0
189	0.0
190	0.0
191	1.0E-4
192	0.0
193	0.0
194	0.0
195	3.0E-4
196	0.0
197	0.0
198	1.0E-4
199	1.0E-4
200	0.0
201	0.0
202	1.0E-4
203	1.0E-4
204	1.0E-4
205	0.0
206	0.0
207	1.0E-4
208	0.0
209	0.0
210	0.0
211	0.0
212	0.0
213	0.0
214	1.0E-4
215	1.0E-4
216	1.0E-4
217	1.0E-4
218	1.0E-4
219	1.0E-4
220	0.0
221	0.0
222	1.0E-4
223	1.0E-4
224	0.0
225	1.0E-4
226	0.0
227	0.0
228	2.0E-4
229	2.0E-4
230	0.0
231	0.0
232	0.0
233	1.0E-4
234	1.0E-4
235	0.0
236	0.0
237	0.0
238	0.0
239	2.0E-4
240	0.0
241	0.0
242	0.0
243	0.0
244	0.0
245	0.0
246	2.0E-4
247	1.0E-4
248	0.0
249	0.0
250	0.0
251	0.0
252	1.0E-4
253	3.0E-4
254	0.0
255	1.0E-4
256	2.0E-4
257	0.0
258	0.0
259	1.0E-4
260	0.0
261	1.0E-4
262	0.0
263	0.0
264	0.0
265	0.0
266	0.0
267	0.0
268	0.0
269	0.0
270	0.0
271	1.0E-4
272	0.0
273	0.0
274	0.0
275	1.0E-4
276	1.0E-4
277	0.0
278	0.0
279	1.0E-4
280	0.0
281	0.0
282	0.0
283	0.0
284	0.0
285	0.0
286	0.0
287	0.0
288	0.0
289	0.0
290	0.0
291	1.0E-4
292	0.0
293	0.0
294	0.0
295	0.0
296	0.0
297	0.0
298	0.0
299	0.0
300	0.0
301	1.0E-4
302	0.0
303	0.0
304	0.0
305	2.0E-4
306	0.0
307	1.0E-4
308	0.0
309	0.0
310	0.0
311	0.0
312	0.0
313	0.0
314	0.0
315	0.0
316	1.0E-4
317	0.0
318	0.0
319	0.0
320	1.0E-4
321	0.0
322	0.0
323	0.0
324	0.0
325	0.0
326	0.0
327	0.0
328	0.0
329	0.0
330	0.0
331	0.0
332	0.0
333	1.0E-4
334	1.0E-4
335	0.0
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	1.0E-4
343	2.0E-4
344	1.0E-4
345	0.0
346	0.0
347	0.0
348	1.0E-4
349	0.0
350	0.0
351	0.0
352	0.0
353	0.0
354	0.0
355	0.0
356	0.0
357	0.0
358	0.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	0.0
365	0.0
366	0.0
367	0.0
368	0.0
369	0.0
370	0.0
371	0.0
372	0.0
373	0.0
374	0.0
375	0.0
376	0.0
377	1.0E-4
378	0.0
379	0.0
380	1.0E-4
381	0.0
382	0.0
383	0.0
384	0.0
385	0.0
386	0.0
387	0.0
388	0.0
389	0.0
390	0.0
391	0.0
392	0.0
393	0.0
394	0.0
395	0.0
396	0.0
397	0.0
398	0.0
399	0.0
400	0.0
401	0.0
402	0.0
403	0.0
404	0.0
405	0.0
406	0.0
407	0.0
408	0.0
409	0.0
410	0.0
411	0.0
412	0.0
413	0.0
414	0.0
415	0.0
416	0.0
417	0.0
418	0.0
419	0.0
420	0.0
421	0.0
422	0.0
423	0.0
424	0.0
425	0.0
426	0.0
427	0.0
428	0.0
429	0.0
430	0.0
431	0.0
432	0.0
433	0.0
434	0.0
435	0.0
436	0.0
437	0.0
438	0.0
439	0.0
440	0.0
441	0.0
442	0.0
443	0.0
444	0.0
445	0.0
446	0.0
447	0.0
448	0.0
449	0.0
450	0.0
451	0.0
452	0.0
453	0.0
454	0.0
455	0.0
456	0.0
457	0.0
458	0.0
459	0.0
460	0.0
461	0.0
462	0.0
463	0.0
464	0.0
465	0.0
466	0.0
467	0.0
468	1.0E-4
469	0.0
470	0.0
471	1.0E-4
472	0.0
473	0.0
474	0.0
475	0.0
476	0.0
477	0.0
478	0.0
479	0.0
480	0.0
481	0.0
482	0.0
483	0.0
484	0.0
485	0.0
486	0.0
487	0.0
488	0.0
489	0.0
490	0.0
491	0.0
492	0.0
493	0.0
494	0.0
495	0.0
496	0.0
497	0.0
498	0.0
499	0.0
500	0.0
501	0.0
502	0.0
503	0.0
504	0.0
505	0.0
506	0.0
507	0.0
508	0.0
509	0.0
510	0.0
511	0.0
512	0.0
513	0.0
514	0.0
515	0.0
516	0.0
517	0.0
518	0.0
519	1.0E-4
520	0.0
521	0.0
522	0.0
523	1.0E-4
524	0.0
525	0.0
526	0.0
527	0.0
528	0.0
529	0.0
530	0.0
531	0.0
532	0.0
533	0.0
534	0.0
535	0.0
536	1.0E-4
537	0.0
538	0.0
539	0.0
540	0.0
541	0.0
542	0.0
543	0.0
544	0.0
545	0.0
546	0.0
547	0.0
548	0.0
549	0.0
550	0.0
551	0.0
552	0.0
553	0.0
554	0.0
555	0.0
556	0.0
557	0.0
558	0.0
559	0.0
560	0.0
561	1.0E-4
